2 31 385
2 37 92
3 27 279 286
2 72 160
3 81 161 351
8 131 162 164 210 274 295 361 377
2 3 289
2 30 116
3 18 45 400
5 18 45 120 373 400
2 66 74
2 294 321
2 191 262
2 323 330
2 174 410
4 112 161 351 366
4 89 165 270 397
2 42 46
2 122 166
4 81 161 351 366
2 27 279
2 307 382
2 118 283
2 116 382
2 291 422
2 2 47
2 341 364
3 81 112 161
2 286 391
4 81 112 351 366
2 13 298
2 42 364
3 67 69 264
3 156 244 413
2 251 321
2 167 370
2 182 257
2 250 379
2 95 409
8 168 199 250 327 329 374 379 409
3 271 298 353
3 302 340 352
4 78 89 165 397
4 112 161 351 366
2 58 266
2 39 99
2 217 287
2 199 379
2 182 201
2 199 327
2 65 340
2 177 356
2 330 337
2 250 329
3 207 275 413
3 47 340 424
2 298 353
2 84 185
2 58 307
3 100 302 352
3 168 250 340
2 115 257
2 201 209
2 191 315
3 191 255 360
2 100 302
2 149 320
2 181 306
3 191 316 375
2 193 301
3 181 385 406
4 81 112 161 366
2 290 316
2 241 293
2 70 354
2 191 262
5 20 119 177 191 209
6 78 165 270 320 397 423
4 112 161 351 366
2 327 329
2 191 318
2 191 315
2 87 191
3 81 112 366
2 156 356
3 154 271 298
4 47 352 363 409
2 199 329
4 21 231 254 315
2 166 314
2 149 320
2 362 398
3 89 320 397
4 81 161 351 366
2 251 294
2 70 413
2 199 329
4 53 98 159 388
2 191 315
2 287 345
2 154 302
2 122 166
3 81 112 351
2 254 258
2 173 389
3 199 250 329
4 51 275 316 408
3 184 329 372
4 112 161 351 366
2 199 329
2 29 423
2 163 316
2 163 378
2 27 279
2 327 329
3 39 58 419
2 244 316
2 74 389
4 81 112 161 366
3 70 244 413
3 65 252 255
2 83 421
4 81 112 161 351
2 209 356
2 163 378
4 65 145 177 356
4 112 161 351 366
2 271 298
2 177 196
2 258 349
2 193 301
2 70 244
2 112 351
2 116 382
2 271 298
4 244 275 408 413
2 13 353
2 329 379
3 95 231 352
2 282 311
2 31 406
2 363 409
2 251 321
2 27 279
2 51 316
2 119 290
2 31 39
2 181 184
2 42 46
2 315 389
2 294 321
4 78 89 165 186
2 173 290
2 168 419
2 120 349
2 81 351
2 27 391
4 81 112 351 366
2 379 409
3 250 327 329
2 85 287
2 42 46
2 354 413
2 199 327
3 85 217 287
2 156 356
2 199 374
2 178 201
3 31 231 409
2 149 320
2 70 179
2 74 389
3 70 179 413
2 191 315
2 58 307
2 191 356
3 70 244 275
2 13 298
3 201 252 257
2 191 315
5 95 120 327 363 409
2 31 406
2 154 334
2 155 191
2 51 244
2 135 191
2 58 307
5 51 177 191 244 356
2 161 351
3 70 275 413
2 119 179
3 70 244 413
2 161 351
2 362 398
2 58 421
2 214 318
2 327 374
2 81 351
2 271 298
2 307 327
2 116 382
2 179 244
2 287 415
2 145 191
2 31 421
3 85 287 415
4 81 112 161 351
2 168 307
2 191 315
3 279 391 407
2 181 382
2 51 70
2 31 184
2 51 244
3 156 177 356
3 112 161 351
3 317 356 389
3 181 338 382
3 85 217 415
3 85 212 217
2 147 328
2 205 306
2 258 409
2 203 214
2 101 349
2 352 363
5 31 116 181 372 382
2 42 46
2 250 374
2 156 413
3 58 100 138
2 55 284
2 27 279
2 199 250
3 161 351 366
4 81 112 161 366
2 42 330
2 250 329
3 340 349 367
2 70 413
2 31 382
2 39 99
2 251 294
6 196 201 244 257 290 413
3 184 205 382
2 286 391
2 191 311
3 279 391 401
2 199 334
4 116 306 382 406
4 111 120 307 327
2 394 407
2 177 191
2 168 307
2 87 129
2 70 413
2 203 214
2 39 58
2 199 329
2 83 327
3 191 315 356
2 250 334
2 307 379
2 327 379
2 166 259
2 290 360
4 81 112 161 366
2 58 307
2 258 365
2 287 415
2 177 316
2 58 307
2 382 406
3 70 275 413
2 39 58
2 15 327
4 39 257 316 378
2 250 327
2 251 294
2 187 329
2 231 349
3 168 199 327
2 168 199
3 70 244 275
2 58 307
2 31 340
3 27 286 391
2 199 327
2 199 329
4 20 51 179 290
2 191 356
2 199 327
2 154 307
3 2 231 349
2 47 114
5 45 97 103 171 373
2 275 413
2 85 415
2 287 415
2 116 382
3 51 179 424
2 57 59
2 181 205
2 371 416
3 30 140 260
2 323 407
2 203 318
2 196 422
2 155 384
2 168 334
2 340 352
3 181 218 340
2 11 16
7 83 129 178 190 327 352 409
3 37 92 399
5 116 306 372 382 406
2 285 345
2 11 57
2 327 329
2 83 97
2 97 250
2 250 329
6 47 83 231 257 306 327
3 206 342 401
2 30 39
2 123 166
5 4 11 337 411 423
3 162 295 377
2 251 321
2 81 366
2 292 371
2 108 398
2 116 181
3 51 129 413
2 244 413
7 97 155 199 218 250 329 379
2 279 286
2 294 321
2 156 207
2 382 406
3 100 140 218
2 291 384
2 231 372
2 44 108
3 70 156 191
2 292 416
2 138 155
2 90 211
2 97 329
2 391 399
3 116 181 406
3 191 244 315
2 54 349
2 39 163
2 163 378
2 155 298
2 382 406
3 116 181 382
2 30 384
8 97 140 172 191 218 291 306 356
2 99 129
3 51 244 275
2 194 211
2 217 415
2 174 410
2 27 286
2 251 294
4 65 290 356 413
5 38 96 174 405 410
4 20 70 244 275
2 116 382
3 250 327 379
5 11 29 46 192 300
2 2 218
2 291 384
2 218 393
3 47 372 385
2 116 409
2 5 30
2 99 250
3 116 181 306
2 258 384
3 96 303 410
2 156 191
3 97 168 199
2 30 51
2 38 405
2 31 184
3 81 351 366
3 65 179 201
2 144 227
2 5 95
3 182 257 378
2 275 316
2 191 356
2 217 415
5 179 182 207 244 360
2 59 407
2 30 363
2 30 329
2 294 321
2 46 166
3 30 316 419
2 73 191
3 70 244 413
2 42 46
2 116 306
7 2 30 167 199 218 327 374
